"trip_distance","fare_amount","total_amount","trip_timelength","intratrip","weekday"
2.6,10,14.16,9.86666666666667,"no","lunes"
1.09,7.5,11.16,9.2,"no","miércoles"
3.1,15,20.15,20,"no","lunes"
1.13,6,8.3,6.81666666666667,"no","lunes"
5.82,20,25.56,17.9333333333333,"no","viernes"
2.2,9.5,12.95,9.51666666666667,"no","lunes"
1.4,10,14.16,13.1166666666667,"no","jueves"
0.96,6,8.76,5.61666666666667,"no","miércoles"
2.01,11.5,14.63,16.1833333333333,"no","viernes"
2.1,11,15.35,14.9333333333333,"no","sábado"
0.85,5.5,8.76,5.05,"no","viernes"
4.1,14.5,19.3,12.7166666666667,"no","miércoles"
2.4,12.5,16.56,15.5166666666667,"no","jueves"
2.8,11,14.15,10.6833333333333,"no","viernes"
1.12,6,8.76,5.45,"no","jueves"
1.5,6.5,9.35,6.08333333333333,"no","viernes"
0.71,6,8.3,6.71666666666667,"no","jueves"
0.8,6,8.75,6.55,"no","martes"
1.3,8,10.23,9.11666666666667,"no","jueves"
5.15,20.5,24.8,23.6,"yes","viernes"
1.96,10,13.56,12.5,"no","martes"
8.28,25.5,32.16,19.5166666666667,"yes","miércoles"
3.8,15.5,21,17.25,"no","viernes"
9.11,27.5,34.56,21.5833333333333,"no","viernes"
11.8,36.5,42.8,31.35,"yes","viernes"
2.51,12.5,17.25,14.9833333333333,"no","jueves"
2.24,9,12.96,8.98333333333333,"no","jueves"
9.4,28,32.63,20.45,"yes","lunes"
2.7,13.5,18.35,18.6,"no","lunes"
2.3,11,15.36,13.8666666666667,"no","viernes"
1.6,7.5,10.8,7.05,"no","miércoles"
3.9,23,31,37.4,"no","viernes"
4.61,18.5,24.75,20.8666666666667,"no","sábado"
1.66,8.5,11.3,8.5,"no","miércoles"
2.76,11,14.3,10.6833333333333,"no","viernes"
8.82,33,39.3,42.0666666666667,"yes","jueves"
1.6,10,13.8,13.2166666666667,"no","jueves"
1.35,8.5,11.8,9.75,"no","jueves"
1.86,27.5,35.16,50.0333333333333,"no","miércoles"
5.77,19.5,24.96,16.9,"no","martes"
5.91,21.5,26.48,23.2166666666667,"yes","miércoles"
1,6,8.76,6.5,"no","sábado"
4.27,26,33.36,41.5833333333333,"no","miércoles"
0.65,8,11.76,10.45,"no","martes"
0.8,6,8.75,6.98333333333333,"no","viernes"
1.4,8,11.3,9.33333333333333,"no","martes"
1.13,6,8.76,6.46666666666667,"no","miércoles"
1.5,9.5,13.55,13.3,"no","jueves"
7.5,25.5,32.16,27.8166666666667,"yes","miércoles"
1.91,10.5,14.16,13.2666666666667,"no","martes"
4.91,17,21.3,15.1166666666667,"yes","martes"
1.1,9,11.8,12.6666666666667,"no","miércoles"
1.12,6.5,9.36,6.7,"no","viernes"
4,15.5,20.16,19.5166666666667,"no","miércoles"
1.9,8.5,12.36,9.08333333333333,"no","viernes"
0.91,7.5,11.16,9.76666666666667,"no","martes"
11.45,34,42.36,28.1166666666667,"yes","martes"
1.44,8,10.3,9.61666666666667,"no","martes"
9.4,34,49.01,39.7166666666667,"yes","lunes"
1.7,7.5,11,6.91666666666667,"no","lunes"
7.76,27,33.96,30.6166666666667,"yes","lunes"
11.4,34,44.12,28,"yes","domingo"
4.5,16.5,22.85,18.0833333333333,"no","viernes"
3.5,13.5,17.8,16.1666666666667,"no","jueves"
9.95,32,46.87,38.15,"yes","jueves"
1,7.5,11.15,9.46666666666667,"no","jueves"
22.17,60,74.8,45.6333333333333,"yes","jueves"
1.43,15,20.16,23.95,"no","miércoles"
8.11,24.5,30.96,18.15,"no","viernes"
1.7,13,17.3,19.7,"no","jueves"
2.2,10.5,14.15,11.9666666666667,"no","miércoles"
1.46,7,10,7.08333333333333,"no","viernes"
2.2,10.5,14.76,12.7333333333333,"no","jueves"
3.2,14.5,19.55,16.8,"no","miércoles"
6.1,24,28.3,29.6333333333333,"yes","jueves"
6.62,19.5,24.96,9.78333333333333,"no","martes"
2.3,11,15.35,13.5,"no","jueves"
15.5,42,58.86,25.5166666666667,"yes","viernes"
1.2,7.5,11.15,8.66666666666667,"no","lunes"
1.52,9,12.36,10.1666666666667,"no","martes"
2.6,9.5,12.95,7.78333333333333,"no","sábado"
1.8,10,14.15,12.7166666666667,"no","lunes"
10.65,32.5,40.56,27.3333333333333,"yes","martes"
1.14,8,11.62,10.7833333333333,"no","sábado"
2.72,12,15.96,12.6833333333333,"no","jueves"
1.72,10,13.56,13.6333333333333,"no","sábado"
4.02,15,19.56,15.8,"no","viernes"
4.1,21,27.3,30.5,"no","viernes"
1.8,7.5,10.55,6.85,"no","viernes"
5.39,18,22.8,14.7833333333333,"no","lunes"
2.26,11,15.36,13.4833333333333,"no","jueves"
1.2,8,11.75,9.43333333333333,"no","jueves"
1.75,8.5,11.76,9.6,"no","martes"
3.17,14,18.36,15.4833333333333,"no","domingo"
8.8,26,30.3,21.5333333333333,"yes","sábado"
1.79,11,15.36,15.5833333333333,"no","miércoles"
4.41,19,22.8,23.8833333333333,"no","jueves"
3.2,13.5,16.8,15.9833333333333,"no","domingo"
3.46,15,26.47,18.8166666666667,"yes","jueves"
5.65,21.5,27.36,23.45,"no","domingo"
1.35,7.5,10.8,8.51666666666667,"no","viernes"
1.86,13.5,18.5,20.7833333333333,"no","jueves"
0.55,8.5,12.36,11.95,"no","miércoles"
3.09,13.5,18.36,16.0666666666667,"no","jueves"
1.66,10,14.16,12.65,"no","jueves"
4.66,20,26.62,23.7833333333333,"yes","jueves"
4.12,18.5,25.3,25.45,"no","jueves"
2.89,13,17.16,16.6166666666667,"no","jueves"
0.8,7,10.55,8.06666666666667,"no","miércoles"
0.95,6.5,9.96,6.53333333333333,"no","martes"
2.6,13,17.76,17.8666666666667,"no","jueves"
4.2,14,18.35,12.6666666666667,"no","viernes"
6,25,31.56,34.1166666666667,"yes","miércoles"
3.1,13.5,17.75,14.9333333333333,"yes","jueves"
0.8,7,10.55,7.8,"no","lunes"
2.08,10.5,14.8,12.85,"no","jueves"
1.35,7,10.56,6.98333333333333,"no","lunes"
2.01,9,12.36,9.03333333333333,"no","jueves"
1.4,9,11.3,11.5,"no","viernes"
5.57,19.5,24.96,21.4666666666667,"yes","jueves"
2.85,10.5,14.16,9.05,"yes","sábado"
1.41,7,9.3,7.68333333333333,"no","domingo"
2.1,9.5,11.8,10.4166666666667,"no","martes"
1.79,9.5,14.12,11.2333333333333,"no","miércoles"
2.27,10,13.8,10.2333333333333,"no","jueves"
14,41.5,51.95,52.75,"yes","viernes"
1.45,8,11.16,9.5,"no","jueves"
1.9,7.5,10.55,7.01666666666667,"no","sábado"
4.6,16.5,21.35,18.85,"no","sábado"
1.59,8.5,11.76,10.1333333333333,"no","martes"
2.2,10,14.75,10.9666666666667,"no","jueves"
2.5,14.5,17.8,19.8,"no","viernes"
3.36,13.5,19.3,17.2666666666667,"no","miércoles"
9.47,28.5,35.76,21.85,"no","miércoles"
4.8,17.5,21.8,21.3333333333333,"yes","lunes"
7.94,34,42.36,47.5833333333333,"yes","viernes"
8.4,26,30.3,21.2666666666667,"yes","viernes"
3.2,13,17,13.8666666666667,"no","sábado"
2.34,10.5,14.76,11.95,"no","viernes"
1.9,8,10.3,8.01666666666667,"no","domingo"
4.5,16,19.8,16.9666666666667,"yes","martes"
1,7,10.55,7.5,"no","martes"
8.83,30.5,44.81,31.6666666666667,"yes","domingo"
4.9,19,24.35,20.0833333333333,"yes","lunes"
3.86,18.5,24.36,24.3166666666667,"no","miércoles"
3.6,15.5,20.76,20.9166666666667,"no","miércoles"
3.14,13.5,17.76,16.3,"no","viernes"
7.73,23.5,31,16.55,"no","jueves"
1.23,6.5,9.36,6.15,"no","domingo"
2.3,12,15.96,16.6333333333333,"no","lunes"
2.33,12,15.1,15.4833333333333,"no","sábado"
2.37,9.5,14.12,9.65,"no","jueves"
3.02,12.5,15.8,15.2666666666667,"no","jueves"
2.21,12.5,16.3,17,"no","jueves"
9.11,29.5,38.5,26.75,"no","miércoles"
1.7,7.5,10.56,8.1,"no","miércoles"
2.46,11,14.76,13.8166666666667,"no","sábado"
2.4,10.5,14.15,10.0666666666667,"yes","viernes"
1.44,9,12.96,11.2166666666667,"no","jueves"
2.37,10.5,14.76,11.6166666666667,"no","miércoles"
3.35,14,18.36,17.25,"no","miércoles"
0.6,5.5,8.29,5.81666666666667,"no","martes"
8.6,28.5,43.26,32.35,"yes","martes"
1.4,8,11.3,8.75,"no","sábado"
3.35,14.5,18.96,17.45,"no","lunes"
12.41,39,55.01,38.6833333333333,"yes","domingo"
1.66,7.5,10.56,6.63333333333333,"no","lunes"
1.77,8,11.16,7.53333333333333,"no","jueves"
1.21,7.5,10,9.25,"no","jueves"
8.09,29,35.3,29.6333333333333,"no","sábado"
3.46,11.5,15.36,8.88333333333333,"no","domingo"
1.7,8.5,11.8,9.1,"no","domingo"
5.1,22,26.3,28.9833333333333,"no","jueves"
2.06,10.5,14.76,11.8833333333333,"no","jueves"
1.1,6.5,9.3,6.26666666666667,"no","viernes"
3.43,13.5,16.5,16.6,"no","jueves"
1.89,9,12.8,10.8833333333333,"no","lunes"
8.2,26,32.75,23.35,"yes","miércoles"
1.19,6.5,9.36,6.53333333333333,"no","lunes"
2.49,10.5,14.16,10.8833333333333,"no","jueves"
1.92,8,11.62,8.18333333333333,"no","viernes"
7.66,25.5,30.3,25.7333333333333,"no","jueves"
1.38,6.5,8.8,5.61666666666667,"no","miércoles"
0.99,6.5,9.96,7.36666666666667,"no","jueves"
1.9,10.5,14.15,13.4666666666667,"no","viernes"
1.6,9.5,13.55,12.55,"no","jueves"
2.9,12,14.8,12.8,"no","martes"
4.7,27,31.13,44.3166666666667,"no","sábado"
9.9,29,36.35,20.8333333333333,"yes","domingo"
9.44,29,36.36,24.6,"no","viernes"
2.47,14,17.8,19.7833333333333,"no","miércoles"
1.42,13,17.16,19.2666666666667,"no","viernes"
1.29,9,12.96,11.35,"no","lunes"
1.8,10.5,14.75,15.0166666666667,"no","miércoles"
1.2,6.5,9.95,5.88333333333333,"no","miércoles"
2.01,10.5,14.76,13.4333333333333,"no","jueves"
4.83,19,22.3,24.1666666666667,"yes","domingo"
1,6,8.75,6.3,"no","viernes"
1.89,9.5,13.56,11.85,"no","viernes"
0.7,5.5,8.15,5.55,"no","miércoles"
2.4,13.5,17.75,18.9166666666667,"no","sábado"
1.65,8.5,11.76,9.53333333333333,"no","lunes"
4.16,16.5,21.36,20.0666666666667,"no","viernes"
3.61,13,17.16,12.25,"yes","miércoles"
3.12,12,15.96,11.4333333333333,"no","martes"
